strength_of_noise,iteration,Method,avg_independent_features_statistics,min_independent_features_statistics,max_independent_features_statistics,avg_dependent_features_statistics,min_dependent_features_statistics,max_dependent_features_statistics,top3_selected_features,independent_vs_dependent_avg_statistics_diff_%
0.01,22,Proposed_Method,0.08097940333838394,0.07946875176837145,0.0822457319902063,0.14438139221043744,0.13740766099979956,0.1543269510939381,"[7, 8, 9]",78.29
0.01,23,Pearson_Correlation_(abs),0.008911723746020986,0.00041025862550242675,0.030300288990442605,0.16636026897197284,0.00041742332058592325,0.49398107311758666,"[1, 4, 8, 9]",1766.76
0.01,23,Mutual_Information,0.004575984408377074,0.0,0.025003646969000926,0.5508753618061668,0.0007538961228590324,1.6454595750523406,"[0, 1, 2, 8, 9]",11938.4
0.01,23,Distance_Correlation,0.01793156499702919,0.012682252358992587,0.030790247250753924,0.17605695055591472,0.014559418073644952,0.4962406764456915,"[3, 4, 7, 8, 9]",881.83
0.01,23,Proposed_Method,0.08343277933185081,0.08225975467570978,0.08454781890964552,0.13865684822568144,0.13368282551272073,0.14235522090149874,"[7, 8, 9]",66.19
0.01,24,Pearson_Correlation_(abs),0.007537307027275393,0.00010334509645591104,0.02249364839867896,0.16489561545526019,0.0032534321594955367,0.48750880868709395,"[1, 2, 5, 7, 8, 9]",2087.73
0.01,24,Mutual_Information,0.0033148376001927568,0.0,0.018204931258781976,0.569020698462975,0.0,1.7070620953889248,"[1, 2, 5, 7, 8, 9]",17065.87
0.01,24,Distance_Correlation,0.017321161298341953,0.011749523205748366,0.027423447971529725,0.17284301689983614,0.014342579138286219,0.48306845231475276,"[2, 3, 6, 7, 8, 9]",897.87
0.01,24,Proposed_Method,0.08434971397509451,0.08338261174751825,0.08542803572081184,0.13651733405811275,0.12927889089275266,0.14568760374053144,"[7, 8, 9]",61.85
0.01,25,Pearson_Correlation_(abs),0.008158763265384464,0.00022226506948604582,0.024476517906986937,0.16450675634310788,0.00274065129477272,0.4860540845996282,"[0, 1, 2, 8, 9]",1916.32
0.01,25,Mutual_Information,0.002438825595169196,0.0,0.011780442921044632,0.5520403848686678,0.0015512759289162403,1.6526423399212629,"[1, 3, 6, 8, 9]",22535.5
0.01,25,Distance_Correlation,0.01715748032617449,0.011968149546393688,0.026828400251079708,0.17215903554027823,0.012262230975429235,0.4851279906291891,"[0, 2, 7, 8, 9]",903.41
0.01,25,Proposed_Method,0.08271308884664638,0.08202892268593259,0.08372183673210475,0.14033612602449178,0.13523068619944306,0.1434051262851265,"[7, 8, 9]",69.67
0.01,26,Pearson_Correlation_(abs),0.009214689619675136,0.00029641650159061467,0.026918858021058315,0.16934499353920454,0.0010589292046523445,0.49735722958513906,"[2, 7, 8, 9]",1737.77
0.01,26,Mutual_Information,0.0035148181502983626,0.0,0.020186938377592334,0.5663483932487509,0.0,1.6903095334410532,"[2, 3, 4, 8, 9]",16013.16
0.01,26,Distance_Correlation,0.018363481033764166,0.013048482550807074,0.02853638141721854,0.17524532081389224,0.01371179950582441,0.4973200019966986,"[2, 7, 8, 9]",854.31
0.01,26,Proposed_Method,0.07894439692701374,0.07806857239112432,0.07947174930569943,0.14912974050363462,0.14655102568263378,0.1508715874163457,"[7, 8, 9]",88.9
0.01,27,Pearson_Correlation_(abs),0.007914865465577499,0.0005691044763888039,0.021980998724163755,0.1826167311705469,0.016874008429594807,0.50859862667351,"[5, 6, 7, 8, 9]",2207.26
0.01,27,Mutual_Information,0.0021211157011822726,0.0,0.015303082113058863,0.566064688231919,0.0,1.6932668665880515,"[1, 3, 4, 6, 8, 9]",26587.12
0.01,27,Distance_Correlation,0.016937902368771667,0.012072042078953425,0.026991978568944478,0.1824294768179738,0.018501796220209248,0.5045290636562224,"[5, 6, 7, 8, 9]",977.05
0.01,27,Proposed_Method,0.08426521966350577,0.08383185771166346,0.08489799098129312,0.13671448745181994,0.1283448411103912,0.146419397002015,"[7, 8, 9]",62.24
